RFQ ID,Date Created,Requirement Name,Product/Service,Quantity,Unit,Category,Customer Name,Customer Email,Customer Phone,Required Delivery Date,Status,Vendors Contacted,Vendors Responded,Best Vendor,Best Price (USD),Best Delivery Days,Payment Terms,Notes
RFQ-NVS-0001,2026-09-09,NVS 3- BWTS UV REACTOR,UV Lamp 3kW 58203480,1,Piece,Ship Systems,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-15,Open,"Eurosan, NetAsea, UV Teknik",0,Pending,,,Waiting for images
RFQ-KGR-0002,2026-09-08,KGR 52- OVERALL,Various Spare Parts Bundle,1,Bundle,Ship Systems,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-20,Closed,"Dilsen, Arma Ship Supply, MythMar",3,"Arma Ship Supply",2450,5,"Net 30 Days","Order placed with Arma"
RFQ-NVS-0003,2026-09-07,NVS FUEL FILTER,Fuel Filter UO-42363,2,Piece,Engine Parts,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-12,Waiting,"YAF Diesel, Netasea",1,Pending,,,"Awaiting price from YAF Diesel"
RFQ-ARD-0004,2026-09-06,ARD- REQ 0014- CUMMINS,Fuel Pump Spare Parts,1,Lot,Engine Parts,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-18,Closed,"Aytuglu Diesel, Besqo Marine, April Gao",3,"Aytuglu Diesel",850,3,"Cash on Delivery","Confirmed with supplier"
RFQ-MLN-0005,2026-09-05,MLN 39- N2 CALIBRATION,Nitrogen Gas 10L Cylinder,2,Cylinder,Supplies,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-10,Closed,"Oğul Gaz, Özel Gaz Satış",2,"Özel Gaz Satış",105,1,"Prepaid","Delivered on time"
RFQ-POS-0006,2026-09-04,POS 51- CONSUMABLE,Consumable Supplies Pack,1,Box,Supplies,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-15,Open,"Arma Ship Supply, Cantas Marine",1,"Arma Ship Supply",1200,2,"Net 30 Days","Awaiting final confirmation"
RFQ-REQ-0007,2026-09-03,REQ 87-26- VP / FIRST AID KIT,First Aid Kit,1,Kit,Safety,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-12,Closed,"Cantas Marine",1,"Cantas Marine",350,1,"Invoice Payment","Order confirmed"
RFQ-JOTUN-0008,2026-09-02,JOTUN- TOUCH UP,Paint Touch-up 5L,2,Gallon,Consumables,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-11,Closed,"Paint Supplier TBD",1,Pending,450,3,"Net 15 Days","Paint ready for pickup"
RFQ-ARD-0009,2026-09-01,ARD - REQ 0009- AVR CARD,Alternator Voltage Regulator,2,Piece,Electrical,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-16,Closed,"ElSatek, FT Elektrik, Sacar Makina",3,"ElSatek",480,1,"Net 30 Days","Best price 480 USD, stock available"
RFQ-DRN-0010,2026-08-31,DRN 30- SOLENOID VALVE,Solenoid Valve Assembly,1,Piece,Hydraulics,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-14,Open,"Ceytron, Valve Supplier",1,Pending,,,No stock - backorder
