RFQ ID,Vendor Name,Vendor Email,Vendor Contact Person,Contact Phone,Response Date,Response Time (Hours),Unit Price (USD),Currency,Total Price (USD),Quantity,Delivery Days,Delivery Location,Payment Terms,Payment Method,Validity Period (Days),Notes,Technical Specs,Certificate/Compliance,Stock Status,Equivalent/Original,Follow-up Status
RFQ-NVS-0001,Eurosan Servis,info@eurosan.com.tr,Esra Çıracı,+90 216 XXX XXXX,2026-09-09,6,,EUR,,1,,Istanbul,Net 30,Bank Transfer,14,"Company presentation sent, awaiting detailed quote",Pdf attached,N/A,Check needed,Muadil olabilir,Waiting Response
RFQ-NVS-0001,NetAsea Technical,info@netasea.com,Capt. Ünal Özdemir,+90 535 640 6706,2026-09-08,12,,USD,,1,,Tuzla,Net 30,Bank Transfer,7,"Name plate info requested","Photo required",N/A,Checking,Muadil Parça,Follow-up Sent
RFQ-NVS-0001,UV Teknik,ersel@uvteknik.com,Ersel KÖSEM,+90 54X XXX XXXX,2026-09-07,24,,EUR,,1,,Istanbul,Net 30,Bank Transfer,14,"Cannot supply equivalent, must contact Alfa Laval",Specialty product,Yes,No Stock,Original Only,Rejected
RFQ-KGR-0002,Dilsen,satis@dilsen.com,Mertcan ÇEVİKER,+90 212 243 06 28,2026-09-08,2,,,2450,1,5,Istanbul,Net 30,Bank Transfer,7,"Visual approval required",Images sent,Yes,Stock,Genuine,Approved
RFQ-KGR-0002,Arma Ship Supply,sales@armaship.com.tr,İlker Topkara,+90 216 XXX XXXX,2026-09-08,4,,,2450,1,5,Yalova,Net 30,Bank Transfer,7,"Free delivery to Yalova dock",Competitive pricing,Yes,Stock,Genuine,"SELECTED - BEST PRICE"
RFQ-KGR-0002,MythMar,sales@mythmar.com,Binnur ROLLAS,+90 216 392 0082,2026-09-08,6,,,2750,1,8,Istanbul,Net 30,Bank Transfer,10,"Higher price, slower delivery",Quote reference MYTHMAR-26.5681,Yes,Stock,Genuine,Rejected
RFQ-NVS-0003,YAF Diesel,sales03@yafdiesel.com.tr,Uygar Gokhan OZKAN,+90 532 XXX XXXX,2026-09-07,18,,USD,,2,,Istanbul,Net 15,Bank Transfer,5,"Machine type needed for exact filter",Part pending,N/A,Check,Muadil,Awaiting Info
RFQ-NVS-0003,Netasea,info@netasea.com,Capt. Ünal Özdemir,+90 535 640 6706,2026-09-06,36,,USD,,2,,Tuzla,Net 30,Bank Transfer,7,"Picture requested",Specifications needed,N/A,Checking,Muadil,Follow-up Sent
RFQ-ARD-0004,Aytuglu Diesel,sales@aytugluyedek.com.tr,Erhan DOKUDUR,+90 216 XXX XXXX,2026-09-06,8,850,USD,850,1,3,Istanbul,COD,Cash,5,"Stock available, competitive price",Quote attached,Yes,Stock,Genuine,"SELECTED - CONFIRMED"
RFQ-ARD-0004,Besqo Marine,roger@besqo.com,Nancy,+90 XXX XXX XXXX,2026-09-06,12,,,1050,1,5,Istanbul,Net 30,Bank Transfer,7,"Higher price point",Quote attached,Yes,Stock,Equivalent,Rejected
RFQ-ARD-0004,April Gao,admin@supplier.com,April Gao,+86 XXX XXX XXXX,2026-09-06,48,920,USD,920,1,10,China,Net 60,Bank Transfer,14,"International shipping required",Quote attached,Yes,Stock,Genuine,Rejected - Too Slow
RFQ-MLN-0005,Oğul Gaz,satis@ogulgaz.com.tr,Ezgi Contact,+90 XXX XXX XXXX,2026-09-05,6,175,EUR,192,2,2,Istanbul,Net 30,Bank Transfer,7,"Euro pricing, delivery included",Technical specs confirmed,Yes,Stock,Genuine,Rejected
RFQ-MLN-0005,Özel Gaz Satış,info@ozelgaz.com.tr,Sales Team,+90 531 301 79 54,2026-09-05,4,105,USD,210,2,1,Tuzla,Prepaid,Bank Transfer,7,"Fast delivery, best price",Nitrogen 5.0, 10L cylinder,Yes,Stock,Genuine,"SELECTED - FASTEST"
RFQ-POS-0006,Arma Ship Supply,sales@armaship.com.tr,Yunus YAZICI,+90 216 XXX XXXX,2026-09-04,6,1200,USD,1200,1,2,Istanbul,Net 30,Bank Transfer,7,"Delivery to Istanbul dock",Competitive consumables,Yes,Stock,Genuine,"SELECTED - APPROVED"
RFQ-POS-0006,Cantas Marine,sales@cantasmarine.com.tr,Gamze DAĞYELİ,+90 216 XXX XXXX,2026-09-04,8,1350,USD,1350,1,3,Tuzla,Net 30,Bank Transfer,7,"Slightly higher price",Standard consumables,Yes,Stock,Genuine,Rejected
RFQ-REQ-0007,Cantas Marine,sales@cantasmarine.com.tr,Gizem Sultan YILMAZ,+90 216 XXX XXXX,2026-09-03,2,350,USD,350,1,1,Istanbul,Invoice,Bank Transfer,7,"Fast delivery, in stock",First Aid Kit complete,Yes,Stock,Genuine,"SELECTED - CONFIRMED"
RFQ-JOTUN-0008,Paint Supplier,info@paintco.com,Sales,+90 212 XXX XXXX,2026-09-02,12,450,USD,900,2,3,Istanbul,Net 15,Bank Transfer,7,"5L gallon format available",Touch-up paint approved,Yes,Stock,Genuine,"APPROVED - DELIVERY READY"
RFQ-ARD-0009,ElSatek,info@elsatek.com,Gürkan AYDIN,+90 534 XXX XXXX,2026-09-01,8,480,USD,960,2,1,Istanbul,Net 30,Bank Transfer,7,"M25FA600A, in stock, OEM GreenPower",AVR card technical data,Yes,Stock,OEM,"SELECTED - BEST PRICE"
RFQ-ARD-0009,FT Elektrik,info@ftelektrik.com.tr,Ömer Can KARADUMAN,+90 501 XXX XXXX,2026-09-01,10,520,USD,1040,2,2,Tuzla,Net 30,Bank Transfer,7,"M25FA600A equivalent",Technical specs included,Yes,Stock,Equivalent,Rejected
RFQ-ARD-0009,Sacar Makina,info@sacarmakina.com.tr,Sales,+90 XXX XXX XXXX,2026-09-01,14,385,USD,770,2,3,Istanbul,Net 30,Bank Transfer,7,"Gold Moto brand, 20% discount available","Gold Moto AVR",Yes,Stock,Equivalent,Rejected - Slower
RFQ-DRN-0010,Ceytron,satis@ceytron.com,Kaya KARLILAR,+90 XXX XXX XXXX,2026-08-31,36,,USD,,1,,Istanbul,Net 30,Bank Transfer,7,"No stock, backorder available",Solenoid valve,N/A,No Stock,Equivalent,Waiting Stock
RFQ-DRN-0010,Valve Specialist,info@valves.com,Technical,+90 XXX XXX XXXX,2026-08-31,48,,USD,,1,,Tuzla,Net 30,Bank Transfer,7,"Alternative supplier recommended",Awaiting quote,N/A,Checking,Muadil,Follow-up Needed
RFQ-MLN-0011,Dilsen,satis@dilsen.com,PELİN ÇELİK,+90 212 243 06 28,2026-08-30,4,125,USD,6250,50,2,Istanbul,Net 30,Bank Transfer,7,"Regular supplier, bulk discount",Dust collection bags,Yes,Stock,Genuine,"SELECTED - REGULAR VENDOR"
RFQ-NVS-0012,Mono Marine,sales@monomarinetr.com,Sales Team,+90 XXX XXX XXXX,2026-08-29,6,650,USD,650,1,3,Istanbul,Net 30,Bank Transfer,7,"Equivalent valve, technical drawing provided",Muadil ürün uygunluğu kontrol edildi,Yes,Stock,Equivalent,"SELECTED - APPROVED"
RFQ-ARD-0013,Hortumsan Hidrolik,hortumsanhydrolik@hotmail.com,UFUK CİVİL,+90 216 446 53 24,2026-08-28,8,1.95,TL,156,80,2,Istanbul,Net 30,Bank Transfer,7,"Hose specifications: 1 in R9, 80cm with D+90 fittings",Flexible hose assembly,Yes,Stock,Genuine,Awaiting Confirmation
RFQ-ARD-0013,Altan Hidrolik,info@altanhidrolik.com,EMİR ERKUŞ,+90 216 593 3310,2026-08-28,12,,USD,,80,,Tuzla,Net 30,Bank Transfer,7,"Awaiting detailed specifications",Hose requirements needed,N/A,Check,Muadil,Info Requested
RFQ-KAZAN-0014,ATA Valve,info@atavalve.com.tr,Sales,+90 XXX XXX XXXX,2026-08-27,6,330,USD,990,3,1,Istanbul,Net 30,Bank Transfer,7,"Wafer type bronze butterfly, viton seat for high temp",Complete valve assembly,Yes,Stock,Genuine,"SELECTED - BEST OPTION"
RFQ-KAZAN-0014,Kelebek Valve,info@kelebek.com,Technical,+90 216 XXX XXXX,2026-08-27,8,360,USD,1080,3,2,Istanbul,Net 30,Bank Transfer,7,"Metal globe valve with bellows",Valve options,Yes,Stock,Genuine,Rejected - Slightly Higher
RFQ-MSC-0015,ATA Valve,info@atavalve.com.tr,Sales,+90 XXX XXXX,2026-08-26,8,206,USD,206,1,2,Istanbul,Net 30,Bank Transfer,7,"3-way valve, operating description provided",SS304 wafer butterfly,Yes,Stock,Genuine,"SELECTED - APPROVED"
RFQ-MSC-0015,Valve Specialists,info@valvespec.com,Technical,+90 XXX XXXX,2026-08-26,24,,USD,,1,,Istanbul,Net 30,Bank Transfer,7,"Drawing required for exact match",3-way valve inquiry,N/A,Checking,Muadil,Follow-up Needed
RFQ-WIRE-0016,Marine Ropes Co,info@manerope.com,Sales,+90 XXX XXXX,2026-08-25,4,20,USD,80,4,1,Tuzla,Cash,Bank Transfer,7,"Synthetic fiber rope net, 20-30mm or 25-35mm mesh",Rope specifications confirmed,Yes,Stock,Genuine,"SELECTED - STOCK READY"
RFQ-AMOT-0017,GANI Ship Spares,gani@gani.com.tr,Rumeysa SIMSEK,+90 212 293 4477,2026-08-24,12,,USD,,1,,Istanbul,Net 30,Bank Transfer,7,"Vessel/IMO info needed for AMOT compliance",Thermostatic valve,N/A,Checking,OEM,Awaiting End-User Info
