RFQ ID,Requirement,Vendor 1,Price 1 (USD),Delivery 1 (Days),Payment 1,Vendor 2,Price 2 (USD),Delivery 2 (Days),Payment 2,Vendor 3,Price 3 (USD),Delivery 3 (Days),Payment 3,Best Price Vendor,Best Price,Best Delivery Vendor,Best Delivery Days,Best Value Vendor,Overall Score Comment
RFQ-NVS-0001,UV Lamp 3kW,Eurosan Servis,TBD,TBD,Net 30,NetAsea Technical,TBD,TBD,Net 30,UV Teknik,N/A (No Equivalent),N/A,Net 30,Pending,Pending,Pending,Pending,Pending,"Awaiting detailed quotes - specialty item"
RFQ-KGR-0002,Spare Parts Bundle,Dilsen,2450,5,Net 30,Arma Ship Supply,2450,5,Net 30,MythMar,2750,8,Net 30,Arma Ship Supply,2450,Arma Ship Supply,5,Arma Ship Supply,95,"ARMA SELECTED: Same price as Dilsen but free delivery to Yalova yard"
RFQ-NVS-0003,Fuel Filter,YAF Diesel,TBD,TBD,Net 15,Netasea,TBD,TBD,Net 30,,,,YAF Diesel,Pending,YAF Diesel,Pending,YAF Diesel,65,"Awaiting machine type info - need exact filter model"
RFQ-ARD-0004,Cummins Fuel Pump,Aytuglu Diesel,850,3,COD,Besqo Marine,1050,5,Net 30,April Gao,920,10,Net 60,Aytuglu Diesel,850,Aytuglu Diesel,3,Aytuglu Diesel,98,"AYTUGLU SELECTED: Lowest price + fastest delivery + immediate payment"
RFQ-MLN-0005,Nitrogen Gas 10L,Oğul Gaz,192,2,Net 30,Özel Gaz Satış,210,1,Prepaid,,,,Özel Gaz Satış,210,Özel Gaz Satış,1,Özel Gaz Satış,100,"ÖZEL GAZ SELECTED: Fastest delivery (1 day) + reasonable price"
RFQ-POS-0006,Consumables Pack,Arma Ship Supply,1200,2,Net 30,Cantas Marine,1350,3,Net 30,,,,Arma Ship Supply,1200,Arma Ship Supply,2,Arma Ship Supply,98,"ARMA SELECTED: Best price + fastest delivery + regular supplier"
RFQ-REQ-0007,First Aid Kit,Cantas Marine,350,1,Invoice,,,,,,,,Cantas Marine,350,Cantas Marine,1,Cantas Marine,100,"CANTAS SELECTED: Only supplier + fastest delivery + stock ready"
RFQ-JOTUN-0008,Paint Touch-up 5L,Paint Supplier,450,3,Net 15,,,,,,,,Paint Supplier,450,Paint Supplier,3,Paint Supplier,90,"APPROVED: Paint ready for pickup - competitive price"
RFQ-ARD-0009,AVR Card,ElSatek,480,1,Net 30,FT Elektrik,520,2,Net 30,Sacar Makina,385,3,Net 30,Sacar Makina,385,ElSatek,1,ElSatek,92,"ELSATEK SELECTED: OEM GreenPower + immediate stock + best value for reliability"
RFQ-DRN-0010,Solenoid Valve,Ceytron,TBD,TBD,Net 30,Valve Specialist,TBD,TBD,Net 30,,,,Pending,Pending,Pending,Pending,Pending,40,"BACKORDER: No stock available - need to wait or find alternative"
RFQ-MLN-0011,Dust Collection Bag,Dilsen,125,2,Net 30,,,,,,,,Dilsen,125,Dilsen,2,Dilsen,100,"DILSEN SELECTED: Regular supplier + bulk discount + competitive pricing"
RFQ-NVS-0012,Valve Assembly,Mono Marine,650,3,Net 30,,,,,,,,Mono Marine,650,Mono Marine,3,Mono Marine,95,"MONO MARINE SELECTED: Equivalent valve confirmed + technical drawing validated"
RFQ-ARD-0013,Flexible Hose,Hortumsan Hidrolik,156 (TL),2,Net 30,Altan Hidrolik,TBD,TBD,Net 30,,,,Hortumsan Hidrolik,156,Hortumsan Hidrolik,2,Hortumsan Hidrolik,85,"HORTUMSAN SELECTED: Specifications confirmed + local supplier"
RFQ-KAZAN-0014,Boiler & Butterfly Valves,ATA Valve,330,1,Net 30,Kelebek Valve,360,2,Net 30,,,,ATA Valve,330,ATA Valve,1,ATA Valve,98,"ATA VALVE SELECTED: Best price + fastest delivery + high-temp viton seat"
RFQ-MSC-0015,3-Way Valve,ATA Valve,206,2,Net 30,Valve Specialists,TBD,TBD,Net 30,,,,ATA Valve,206,ATA Valve,2,ATA Valve,95,"ATA VALVE SELECTED: Confirmed operating specs + competitive price"
RFQ-WIRE-0016,Rope Net,Marine Ropes Co,20,1,Cash,,,,,,,,Marine Ropes Co,20,Marine Ropes Co,1,Marine Ropes Co,100,"MARINE ROPES SELECTED: Only supplier + immediate delivery + cash price"
RFQ-AMOT-0017,Thermostatic Valve,GANI Ship Spares,TBD,TBD,Net 30,AMOT Supplier,TBD,TBD,Net 30,,,,Pending,Pending,Pending,Pending,Pending,50,"AWAITING: End-user/vessel info needed for AMOT compliance"
RFQ-KLT-0018,KSB Seal Bearing,RF International,1320,5,Bank Transfer,,,,,,,,RF International,1320,RF International,5,RF International,90,"RF INTERNATIONAL SELECTED: Payment already made - Euro pricing included"
RFQ-EFRMV-0019,Azcue Pump Seal,Gücü Pompa,350,1,Prepaid,Pump Specialists,TBD,TBD,Net 30,,,,Gücü Pompa,350,Gücü Pompa,1,Gücü Pompa,98,"GÜCÜ POMPA SELECTED: Fastest delivery + confirmed stock + local supplier"
RFQ-POSE-0020,Consumables Bundle,Arma Ship Supply,1500,3,Net 30,,,,,,,,Arma Ship Supply,1500,Arma Ship Supply,3,Arma Ship Supply,95,"ARMA SELECTED: Regular consumable order - competitive pricing confirmed"
